name_court,type,description,doc_referential_link,version,date,format,operations,status,transactions_volume,api_HTTP_verb,api_balanced,api_endpoint_1,api_endpoint_2,api_exposed_wan,api_status codes,api_port_serveur,api_url_serveur_destination,api_ OAuth2_OIDC_AZ,api_OAuth2_OIDC_scopes,api_OAuth2_OIDC_claims,etl_source,etl_destination,etl_software,etl_transformation_name
SAÉ-CARREFOUR,API,Affichage du calendrier des SAÉ pour les évènements à venir par thématiques,,V 1.0,,,Lecture,En Test,,Get,[primary],/sae/v1/internal/planif_carrefour,,TRUE,,,,N/A,N/A,N/A,,,,
Synchro-NAGANO,API,Information pour que le système ethique puisse fonctionner,,V 1.0,2020-02-26,,Lecture,En Prod,,Get,[primary],/recherche/v1/octrois,,TRUE,,3002,/octrois,N/A,N/A,N/A,,,,
Infra-SENS,API,Env de lab shell pour des cours variés. Objets Cours.,,V 1.0,2020-07-13,,Création,En projet,,POST,[primary],/sens/v1/cours,,TRUE,,3000,/cours,,,,,,,
Infra-SENS,API,Env de lab shell pour des cours variés. Objets Cours.,,V 1.0,2020-07-13,,Suppression,En projet,,DELETE,[primary],/sens/v1/cours,,TRUE,,3000,/cours,,,,,,,
Infra-SENS,API,Env de lab shell pour des cours variés. Objet Étudiant.,,V 1.0,2020-07-13,,Création,En projet,,POST,[primary],/sens/v1/cours/permissions,,TRUE,,3000,/cours/permissions,,,,,,,
Infra-SENS,API,Env de lab shell pour des cours variés. Objet Étudiant.,,V 1.0,2020-07-13,,Suppression,En projet,,DELETE,[primary],/sens/v1/cours/permissions,,TRUE,,3000,/cours/permissions,,,,,,,
Lara-Okta (reception webhook),API,Recevoir evenement Lära et associer utiliseurs Okta au bon groupe Okta pour Admin facultaires,,V 1.0,2021-03-01,,Événement webhook,En projet,,POST,[primary],/lmsfc/v1/receptionwebhook,,TRUE,,3004,/receptionwebhook,,,,,,,
RDDUM-Encompass,API,Synchronisation de iModules Encompass avec Ellucian AWA,,V 1.0,2021-01-04,,Lecture/Ecriture,En Prod,,GET/PATCH,[primary],Non,,FALSE,,3003,Non,N/A,N/A,N/A,,,,
Synchro-CVAcademique,API,Intégration Uniweb   webhook et mise à jour,,V 1.0,2021-11-22,,Lecture/Ecriture,En Prod,,GET,[primary],/cvacademique/v1/loginevent,,TRUE,,3005,/loginevent,N/A,N/A,N/A,,,,
Synchro-Presentia,API,Intégration Présenti@   Recherche,,V 1.0,2021-05-27,,Lecture,En Prod,,GET,[primary],/dossiersante/v1/employes,,TRUE,,3006,/employes,N/A,N/A,N/A,,,,
Synchro-Presentia,API,Intégration Présenti@   Dossier Employé,,V 1.0,2021-05-27,,Lecture,En Prod,,GET,[primary],/dossiersante/v1/employe,,TRUE,,3006,/employe,N/A,N/A,N/A,,,,
Synchro-Presentia,API,Intégration Présenti@   Dossier Employé,,V 1.0,2023-02-02,,Lecture,En Prod,,POST,[primary],/dossiersante/v1/employe,,TRUE,,3006,/employe,N/A,N/A,N/A,,,,
RECA-Pima (profile),API,Intégration Présenti@   Dossier Employé,,V 1.0,,,Lecture,En projet,,GET,[primary],/dossiersante/v1/employe,,TRUE,,3006,/employe,N/A,N/A,N/A,,,,
PIMA/RECA - Profil - POUR SAR PUBLIC - PAR MTLS,API,Accès spécial et limité pour SAR PUBLIC - Service pour écrire/lire Profil pour le nouveau site SAR   dans la BD Intermédaire. Inclus aussi des appels à Synchro (lecture),,V 1.0,2024-04-25,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/profil/v1/sarpublic/recherche,,FALSE,,3011,/admin/recherche,N/A,N/A,N/A,,,,
PIMA/RECA - Profil - PAR MTLS,API,Service pour écrire/lire Profil pour le nouveau site SAR   dans la BD Intermédaire. Inclus aussi des appels à Synchro (lecture),,V 1.0,2021-09-28,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/profil/v1/,,FALSE,,3011,/admin/*,N/A,N/A,N/A,,,,
PIMA/RECA - Profil - PAR MTLS,API,Service pour écrire/lire Profil pour le nouveau site SAR   dans la BD Intermédaire. Inclus aussi des appels à Synchro (lecture),,V 1.0,2021-09-28,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/profil/v1/,,FALSE,,3011,/fusion,N/A,N/A,N/A,,,,
PIMA/RECA - Profil - PAR JETON,API,Service pour écrire/lire Profil pour le nouveau site SAR   dans la BD Intermédaire. Inclus aussi des appels à Synchro (lecture),,V 1.0,2021-09-28,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/profil/v1/,,FALSE,,3011,/* (si pas un match avec ligne ci-haut),Okta,oidc email profile,Matricule   email,,,,
PIMA/RECA - Admission - POUR SAR PUBLIC - PAR MTLS,API,"Accès spécial pour SAR PUBLIC - Service pour écrire/lire les demandes d'admission pour le nouveau site SAR   dans la BD intermédiaire. Inclus aussi des appels à Synchro (lecture/écriture)
",,V 1.0,2024-04-25,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/admission/v1/sarpublic/demandeAdmission,,FALSE,,3012,/admin/demandeAdmission,N/A,N/A,N/A,,,,
PIMA/RECA - Admission - PAR MTLS,API,"Service pour écrire/lire les demandes d'admission pour le nouveau site SAR   dans la BD intermédiaire. Inclus aussi des appels à Synchro (lecture/écriture)
",,V 1.0,2021-09-28,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/admission/v1,,FALSE,,3012,/admin/*,N/A,N/A,N/A,,,,
PIMA/RECA - Admission - PAR JETON,API,"Service pour écrire/lire les demandes d'admission pour le nouveau site SAR   dans la BD intermédiaire. Inclus aussi des appels à Synchro (lecture/écriture)
",,V 1.0,2021-09-28,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/admission/v1,,FALSE,,3012,/* (si pas un match avec ligne ci-haut),Okta,oidc email profile,Matricule   email,,,,
PIMA/RECA - InfoProgrammes,API,Service exposant des informations au sujets des programmes (lecture Sycnhro),,V 1.0,2022-02-01,,Lecture,En Prod,,GET   POST   DELETE,[primary],/infoprogrammes/v1,,FALSE,,3013,/*,N/A,N/A,N/A,,,,
PIMA/RECA - CIAM,API,Service d'Abstraction pour télécommande du fournisseur CIAM (Okta),,V 1.0,2022-02-01,,Lecture/Écriture,En Prod,,GET   POST   DELETE,[primary],/ciam/v1,,FALSE,,3014,/*,N/A,N/A,N/A,,,,
CRN,API,Service exposant l'API pour l'application Web 'Convertisseur de notes',,V 1.0,2024-03-01,,Lecture/Écriture,En dev,,GET   POST,[primary],/convertisseur-notes/v1,,TRUE,,8080,/CRNService/*,,,,,,,
CEPSUM-AuthentificationExtetMigration,API,2 opérations pour nécessaire pour login entre Coba et Azure AD B2C,,V 1.0,2024-04-10,,Lecture,En dev,,GET,[primary],/cepsum/federationid,,TRUE,,7443,/cepsum/federationid/*,N/A,N/A,N/A,,,,
ETL 1,ETL,Exemple ETL 1,,V 1.0,,,,,,,,,,,,,,,,,Non spécifié,Non spécifié,Non spécifié,Non spécifié
ETL 2,ETL,Exemple ETL 2,,V 1.0,,,,,,,,,,,,,,,,,Non spécifié,Non spécifié,Non spécifié,Non spécifié
ETL 3,ETL,Exemple ETL 3,,V 1.0,,,,,,,,,,,,,,,,,Non spécifié,Non spécifié,Non spécifié,Non spécifié
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
